PC,MIN
JACKS-T1,299331
JACKS-T1,297739
JACKS-T1,297739
JACKS-T1,297739
JACKS-T1,297725
JACKS-T1,297725
JACKS-T1,297538
JACKS-T1,296800
JACKS-T1,296666
JBER-T1,299982
JBER-T1,299982
JBER-T1,299571
JBER-T1,299571
JBER-T1,298484
JBER-T1,298481
JBER-T1,298461
JBER-T1,298368
JBER-T1,298368
JBER-T1,297973
JBER-T1,297973
JBER-T1,297973
JBER-T1,297953
JBER-T1,297953
JBER-T1,297939
JBER-T1,297934
JBER-T1,297579
JBER-T1,297579
JBER-T1,297559
JBER-T1,297236
JBER-T1,297236
JBER-T1,297236
JBER-T1,297109
JBER-T1,295178
JBER-T1,295178
JBER-T1,295096
JBER-T1,295084
JBER-T1,295054
JBER-T1,295049
JBER-T1,294947
JBER-T1,294947
JBER-T1,294946
JBER-T1,294716
JBER-T1,294716
JBER-T1,294455
JBER-T1,294455
JBLM-T1,298584
JBLM-T1,298300
JBLM-T1,298300
JBLM-T1,298244
JBLM-T1,298244
JBLM-T1,297950
JBLM-T1,297950
JBLM-T1,297899
JBLM-T1,297899
JBLM-T1,297898
JBLM-T1,297705
JBLM-T1,297705
JBLM-T1,297369
JBLM-T1,297369
JBLM-T1,297369
JBLM-T1,295839
JBLM-T2,294971
JBLM-T2,294909
JBLM-T2,294909
JBLM-T2,294735
JBLM-T2,294733
JBLM-T2,294733
JBLM-T2,294354
JBLM-T2,294354
JBLM-T2,294247
JBLM-T2,294247
JBLM-T2,293979
JBLM-T2,293979
JBLM-T2,293825
JBLM-T2,293825
JBLM-T2,293597
JBLM-T2,293597
JBLM-T2,293291
JBLM-T2,293291
JBLM-T2,292872
JBLM-T2,292872
JBLM-T2,292611
JBLM-T2,292408
JBLM-T2,292408
JBLM-T2,292306
JBLM-T2,292306
JBLM-T2,291966
JBLM-T2,291966
JBLM-T2,291604
JBLM-T2,291604
JBLM-T2,291582
JBLM-T2,291582
JBLM-T2,291203
JBLM-T2,291203
JBLM-T2,290845
JBLM-T2,290845
JBLM-T2,290564
JBLM-T2,290564
JBLM-T2,290283
JBLM-T2,290146
JBLM-T2,290146
JBLM-T2,290134
JBLM-T2,290121
JBLM-T2,290094
JBLM-T2,289588
JBLM-T2,289588
JBLM-T2,288719
JBLM-T2,288719
JBLM-T2,288346
JBLM-T2,288346
JBLM-T2,288105
JBLM-T2,288105
JBLM-T2,287882
JBLM-T2,287882
JBLM-T2,287647
JBLM-T2,287647
JBLM-T2,287606
JBLM-T2,287462
JBLM-T2,287460
JBLM-T2,287453
JBLM-T2,287401
JBLM-T2,287387
JBLM-T2,287031
JBLM-T2,287031
JBLM-T2,286848
JBLM-T2,286846
JBLM-T2,286650
JBLM-T2,286650
JBLM-T2,286470
JBLM-T2,286470
JBLM-T2,286341
JBLM-T2,286016
JBLM-T2,286016
JBLM-T2,285874
JBLM-T2,285874
JBLM-T2,285792
JBLM-T2,285766
JBLM-T2,285671
JBLM-T2,285671
JBLM-T2,285658
JBLM-T2,285658
JBLM-T2,285640
JBLM-T2,285426
JBLM-T2,285426
JBLM-T2,285377
JBLM-T2,285377
JBLM-T2,285076
JBLM-T2,284775
JBLM-T2,284747
JBLM-T2,284651
JBLM-T2,284651
JBLM-T2,284617
JBLM-T2,284576
JBLM-T2,284366
JBLM-T2,284366
JBLM-T2,284213
JBLM-T2,284213
JBLM-T2,283939
JBLM-T2,283939
JBLM-T2,283812
JBLM-T2,283812
JBLM-T2,283795
JBLM-T2,283514
JBLM-T2,283466
JBLM-T2,283466
JBLM-T2,283449
JBLM-T2,283435
JBLM-T2,283226
JBLM-T2,283095
JBLM-T2,283095
JBLM-T2,283070
JBLM-T2,283070
JBLM-T2,282811
JBLM-T2,282811
JBLM-T2,282811
JBLM-T2,282662
JBLM-T2,282662
JBLM-T2,282465
JBLM-T2,282465
JBLM-T2,282462
JBLM-T2,282360
JBLM-T2,282331
JBLM-T2,282331
JBLM-T2,282329
JBLM-T2,281701
JBLM-T2,281701
JBLM-T2,281197
JBLM-T2,281191
JBLM-T2,281182
JBLM-T2,281081
JBLM-T2,281068
JBLM-T2,280724
JBLM-T2,280719
JBLM-T2,280424
JBLM-T2,280424
JBLM-T2,280373
JBLM-T2,280373
JBLM-T2,280287
JBLM-T2,280287
JBLM-T2,280061
JBLM-T2,280061
JBLM-T2,279912
JBLM-T2,279912
JBLM-T2,279897
JBLM-T2,279897
JBLM-T2,279887
JBLM-T2,279779
JBLM-T2,279779
JBLM-T2,279774
JBLM-T2,279773
JBLM-T2,279650
JBLM-T2,279646
JBLM-T2,279646
JBLM-T2,279266
JBLM-T2,279266
JBLM-T2,279002
JBLM-T2,279002
JBLM-T2,278865
JBLM-T2,278865
JBSA-T1,299984
JBSA-T1,299984
JBSA-T1,299949
JBSA-T1,299949
JBSA-T1,299930
JBSA-T1,299930
JBSA-T1,299911
JBSA-T1,299722
JBSA-T1,299722
JBSA-T1,299711
JBSA-T1,299711
JBSA-T1,299705
JBSA-T1,299705
JBSA-T1,299700
JBSA-T1,299665
JBSA-T1,299665
JBSA-T1,299664
JBSA-T1,299664
JBSA-T1,299621
JBSA-T1,299609
JBSA-T1,299604
JBSA-T1,299594
JBSA-T1,299594
JBSA-T1,299592
JBSA-T1,299591
JBSA-T1,299444
JBSA-T1,299438
JBSA-T1,299437
JBSA-T1,299259
JBSA-T1,299259
JBSA-T1,299257
JBSA-T1,299257
JBSA-T1,298927
JBSA-T1,298927
JBSA-T1,298881
JBSA-T1,298881
JBSA-T1,297007
JBSA-T1,297007
JBSA-T2,299491
JBSA-T2,299490
JBSA-T2,299480
JBSA-T2,299480
JBSA-T2,299476
JBSA-T2,299476
JBSA-T2,299456
JBSA-T2,299456
JBSA-T2,299122
JBSA-T2,299122
JBSA-T2,299119
JBSA-T2,299119
JBSA-T2,299015
JBSA-T2,299005
JBSA-T2,299004
JBSA-T2,298994
JBSA-T2,298994
JBSA-T2,298741
JBSA-T2,298729
JBSA-T2,298729
JBSA-T2,298723
JBSA-T2,298723
JBSA-T2,298588
JBSA-T2,298588
JBSA-T2,298575
JBSA-T2,298575
KNOX-T2,297834
KNOX-T2,297015
KNOX-T2,296814
KNOX-T2,296814
KNOX-T2,296552
KNOX-T2,296552
KNOX-T2,296523
KNOX-T2,296523
KNOX-T2,296523
KNOX-T2,296523
KNOX-T2,296269
KNOX-T2,296269
KNOX-T2,296208
KNOX-T2,296208
KNOX-T2,296208
KNOX-T3,299592
KNOX-T3,299592
KNOX-T3,299591
KNOX-T3,299590
KNOX-T3,299281
KNOX-T3,299277
KNOX-T3,299277
KNOX-T3,299090
KNOX-T3,299090
